Category,Problem List Item,BraveEve's Conversational Question,Yes,No,Verbatim
Physical,Pain,"We all get body pain sometimes. [Name], is your body feeling any pain or soreness lately?","Thank you for telling me. It is hard when the body hurts, and you are being so incredibly strong just by getting through today.",That's really good to hear. I'm happy your body feels more comfortable.,I would have body pain and would be in bed most of the time 
Physical,Pain,"Dealing with a sick body is not easy, [Name]. Lately, has any part of your body been hurting, paining, or feeling very sore?","Thank you for telling me. It is hard when the body hurts, and you are being so incredibly strong just by getting through today.",That is wonderful to hear! I am so happy that your body is feeling comfortable and relaxed today.,I would have body pain and would be in bed most of the time 
Physical,Pain,"Sometimes our body feels heavy and hurts when we are unwell. [Name], have you had any pain or body aches recently?","Dealing with physical pain takes a lot of mental strength, and you are doing an amazing job handling things one moment at a time.",That is very good news! It is a big relief when the body feels light and free of any aches.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], I want to check on how your body is feeling. In these past few days, have you had any discomfort or pain anywhere?","Please be very gentle with yourself today. When the body is aching, resting quietly is the best thing you can do for yourself.",I am so glad to know that! Having a pain-free day brings so much peace to the mind and body.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], have you noticed any body pain or soreness this week?","Thank you for sharing this with me. Please take a comfortable position, breathe easy, and let your body rest as much as possible.",That brings a big smile to my face. It is great that your body is feeling so comfortable right now.,I would have body pain and would be in bed most of the time 
Physical,Pain,"Sometimes being sick makes our muscles ache, [Name]. Has your body been hurting at all recently?","Please be very soft on yourself today. When your muscles hurt, lying down quietly is the best medicine for you.",I am so glad to know that. Having a day without any pain brings so much peace to your mind.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], I want to make sure you are feeling okay. Have you had any pain or aches in your body this week?","Thank you for telling me this. Please sit in a comfortable way, take slow breaths, and let your body rest.",That brings a big smile to my face. It is wonderful that your body feels so relaxed right now.,I would have body pain and would be in bed most of the time 
Physical,Pain,"When we are not well, our body can feel very sore, [Name]. Has any part of your body been hurting lately?","Thank you for being so honest with me. When you are hurting, resting quietly is exactly what you need.",That is very good to hear. Staying free from body pain is a great blessing for your health today.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], let us talk about how your body feels today. Have you noticed any aches or pain recently?","It takes a lot of mental strength to face physical pain, and you are doing an amazing job today.",That is fantastic news! I am so happy that your body is feeling so comfortable and easy right now.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], our muscles can feel heavy and achy when we are sick. Have you had any body pain these days?",Thank you for sharing this with me. Lying down in a cozy spot and resting is the best thing for you now.,That brings a lot of relief. It is great that your body is not experiencing any discomfort today.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], it is not easy when your body feels weak and sore. Are you having any aches or pain right now?",Thank you for letting me know. Please take things very easy today and let your aching body rest well.,That brings a lot of joy to my heart. It is fantastic that your body feels so comfortable.,I would have body pain and would be in bed most of the time 
Physical,Pain,"When our body is fighting a sickness, it can hurt, [Name]. Have you noticed any body pain this week?","Dealing with physical pain is hard, but you are doing a beautiful job handling it one hour at a time.",That is a great sign. It is wonderful that your body is feeling completely fine and free of ache.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], I want to know how your body is doing. Is any part of your body aching or hurting lately?","Please do not take any stress, [Name]. When the body is hurting, resting quietly is the most helpful thing.",I am so happy for you. Having a comfortable and relaxed body brings so much peace to your day.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], our bodies need a lot of care when they feel sore. Are you dealing with any body pain these days?","I hear you, [Name]. It is completely okay to feel down when your body hurts. Just take it one step at a time.",That brings a big smile to my face. I am so glad your body is feeling completely comfortable today.,I would have body pain and would be in bed most of the time 
Physical,Pain,"[Name], let us check on your physical comfort today. Has your body been hurting or feeling very sore lately?","It is hard when you have body ache, but you are showing so much patience by getting through today.",That is fantastic! Hearing that your body feels comfortable and relaxed makes me very happy.,I would have body pain and would be in bed most of the time 
